BUE	Buenos Aires
CAB	CABA
CAT	Ciudad Autónoma de Buenos Aires
CHA	Chaco
CHU	Chubut
COR	Córdoba
COR	Corrientes
ENR	Entre Ríos
FOR	Formosa
JUY	Jujuy
LAP	La Pampa
LAR	La Rioja
MEN	Mendoza
MIS	Misiones
NEQ	Neuquén
RNE	Río Negro
SAL	Salta
SJU	San Juan
SLU	San Luis
SCR	Santa Cruz
SFE	Santa Fe
SDE	Santiago del Estero
TFU	Tierra del Fuego
TUC	Tucumán

